Age	Total number of children	Annual cost of education per child	Distance from school	Gender	Education Decision	Willingness to Sponsor	Incentive for schooling	Access to government universal basic education	Access to secondary education	Access to tertiary education	Parent Highest Education
28	3		0.9	0	1	0	0	0	1	1	2
	3		0.7	0	1	1	1	1	1	1	3
10	3		0.9	0	1	1	0	0	1	1	5
	2				1		0				1
	2	40000	0.7	1	0	1	1	1	1	1	5
	2	40,000	0.9	1	1	1	0	0	1	1	5
	3	2,400	0.8	0	1	1	0	0	1	1	4
27	3	13000	0.7	0	1	1	0	0	1	1	3
	3	10,000	0.8	0	1	1	0	0	0	0	3
21	3	50,000	0.9	0	1	1	0	1	1	1	3
15	3		1	1	1	1	0	0	1	1	1
15	2		1	1	1	0	0	0	1	1	3
31	4	45,000	70		1	0	0			1	1
13	4	5,000	2		1	0	0			0	1
21	2	30,000	6		1	1				1	1
	3				1		0				
28	2		1	1	1	1	0	0	1	1	4
	3		1	1	1	1	1	0	1	1	3
	2		1	0	1	1	0	0	1	1	6
	3		1	1	1	1	0	1	1	1	6
26	4	216,000	38	1	1	1	1	0	1	1	6
19	3				1		0				
21	4				1	0	0				
	4				1	0	0				
19	3	230,000	50		1		0				
2	4	2000	1	0	1	1	0	0	1	1	4
23	4	75,000	10	0	1	1	0	1	1	1	5
10	4		1	0	1	1	0	0	1	1	2
18	3	10,000	1		1	1	0				1
23	2				1		0				
8	4				1		0				
23	3	65,000			1		0				1
22	2	15,000	1	0	1	1	0	0	1	1	3
20	3		1	1	0	1	0	0	1	1	5
17	2		0.9	0	1	1	0	1	1	1	4
18	4		0.9	0	1	1	0	0	1	1	3
	2		0.8	1	1	1	0	0	1	1	2
18	2		0.9	0	1	1	0	0	0	1	5
25	3				1		0				
26	4	40000	0.7		1	1	0				
25	4	17,500	0.7	1	1	1	0	1	1	1	2
20	3		0.7	1	1	1	0	0	1	1	4
	3		0.7	1	1		0	0	1	1	4
14	4				1	0	0				
23	3				1	0	0				
12	3				1	0	0				
	2				1	0	0				
22	4	490000	120		1	0	1				
20	3	150,000	77	0	1	0	1	1	1	1	5
20	2	120,000	85		1	0	1		1	1	1
15	3	50000	50		1	0	0			1	1
6	2	50,000	10		1	0	0			1	1
15	3	1,200	5	1	1	1	0	1	1	1	5
20	4	150	2	1	1	0	0	1	1	0	1
23	3	30,000	1	1	1	0	0	1	1	1	5
27	2	16,000	2		1	0	0			0	1
7	2	100,000	30	1	1	0	0	0	1	1	3
22	3	30,000	2		1	0	0		1		2
18	2	250000	59	1	0	1	0	1	1	1	1
22	3	100,000	0.8	1	1	1	0	0	0	0	5
25	3		<1km	1	1	1	0	0	1	1	3
17	4	30,000	0.9	0	1	0	0	0	1	1	2
25	5	50,000			1	0	0			1	2
18	2				1		0				
	3	20,000	3		1	0	0			0	3
25	2	30,000	3		1	0	0			1	3
8	2				1		0				
	2	1,200	0.8	0	1	1	1	1	1	1	3
10	2	30000	4	0	1	1	0	0	1	1	5
	3	35000	6		1	1	1		0	1	3
20	4	25000	2		1	0	1		0	0	2
24	4	96,000	28		1	1	1		0	1	2
	4	15000	3		1	1	1		0	0	3
25	4	50,000	44		1	0	1		0	1	3
	3	50,000	28		1	1	1		0	1	3
	5	9000	1	1	1	1	1	1	1	1	5
	5	30,000	1	1	1	1	0	0	1	1	5
8	2	30,000	0.9	1	1	0	1	1	1	1	3
	2	100,000	55	1	1	1	1	1	1	0	3
21	3	30,000	5	1	1	1	1	1	1	1	3
25	3	180,000	65	1	1	0	0	1	1	1	3
25	4	5,000	33	1	1	1	1	1	1	1	6
24	3	100,000	25	0	1	1	1	1	1	1	5
28	3	1,850	0.9	1	1	1	0	1	1	1	1
11	2	150,000	32	1	1	1	1	1	1	1	5
12	3	5,000	0.9	1	1	1	0	0	1	1	3
26	2	7,000	1	0	1	1	1	1	1	1	4
15	3	27,000	1	1	1	1	0	1	1	1	4
18	3	4,000	2		1	1	0		0		
	4	1000	1	1	1	0	0	0	1	0	1
25	3	120,000	1	0	1	1	0	0	1	1	4
5	3				1		0				
	3	8,000	1	1	1	1	0	0	1	1	2
8	2	40,000	1	1	0	1	0	0	1	1	5
22	2	15,000		1	1	1	1			0	2
14	3	150,000	5	1	1	1	0	1	1	1	3
26	3	120,000	78	1	1	1	1	1	1	0	3
3	4	150,000	45	0	1	1	1	1	1	0	4
27	3		25	0	1	1	1	1	1	0	3
25	6	40,000	1	1	1	1	1	1	1	1	2
	2	8,000	0.8	1	1	1	0	1	1	0	2
20	3	10,000	5	1	1	1	0	0	1	0	1
20	4	40,000	0.9	1	1	1	0	0	1	1	4
20	3	150,000	0.8	1	1	1	1	1	1	1	3
30	3	10,000	1	1	1	1	0	0	1	1	3
	2	1,875	62	1	1	1	1	1	1	1	5
22	2	1,875	58	1	1	1	1	0	1	1	5
	3			1	1	1	0	0	1	1	1
	3	4,500	1	1	1	1	1	1	1	1	5
	4		2	0	1	1	0	0	1	1	3
20	4	45,000	1	1	1	1	1	1	1	1	4
17	4		0.7	1	1	1	0	1	1	1	4
	3	30,000	0.9	1	1	1	0	1	1	1	5
15	3	11,500	2	0	1	1	0	0	1	0	3
20	2	70,000	1	1	1	0	0	0	1	1	1
35	3	0	1	1	1	0	0	0	0	0	1
15	5	120,000	1	1	1	0	0	0	1	1	3
35	6	0	3	0	1	0	0	0	1	1	1
18	5	8,000	3	1	1	1	0	0	1	1	2
	3	40,000	0.9	1	1	0	0	0	0	0	1
	6	15,000	0.9	1	1	0	0	0	1	1	3
27	3	150,000	0.9	1	1	1	0	1	1	1	5
	3	30,000	0.9	1	1	1	0	0	0	1	4
	5		0.8	0	1	1	0	1	1	1	5
29	2		0.9	1	1	0	0	1	1	1	2
25	2	30,000	0.9	0	1	1	1	0	1	1	2
	1				1	0	0				
28	1		1	1	1	1	0	1	1	1	3
	1	120,000	2	0	1	1	0	0	1	0	1
17	2	150,000	1	1	1	1	0	0	1	1	3
	3		1	0	1	1	0	1	1	1	5
	3	40,000	1	1	1	1	1	1	1	0	3
27	5	8,000	0.8	0	1	1	0	0	1	1	3
30	6	90	0.8	1	1	1	0	1	1	1	5
	6	10,000	0.9	0	0	1	0	1	1	1	4
	3				1		0				
	4	35,000	0.9		1	1	1	1	1	1	4
9	1				1		0				
29	2	6,000	0.8	1	1	1	0	1	1	1	2
19	5	50,000			1		0			1	3
	2		2	1	1	1	0	0	0	1	5
20	3	20,000	0.7	1	1	1	0	1	1	1	25
	3		0.9	0	1	1	0	0	1	1	1
	5	35,000	0.8	0	1	0	0	0	1	1	1
18	2	65,000	4	1	1	1	0	0	1	1	2
	6	12,000	0.9	1	1	0	0	0	0	0	1
	3	4,500	1	1	1	0	0	0	1	1	3
27	3		0.8	1	1	1	0	1	1	1	5
	4	25,000	2	1	1	1	0	0	0	1	4
	3		0.9	0	1	1	0	1	1	1	5
13	3	40,000	0.9	1	1	1	0	0	1	0	5
18	4	150,000	45		1	1	0		0	1	1
	6	10,000	2		1	1	0		0	0	1
	3	1,875	1	0	1	1	0	0	1	1	4
12	3	1,875	1		1	0	0			0	1
	4		2	0	1	0	0	0	1	1	2
30	3		1	1	1	0	1	1	1	1	2
25	2	100,000	3	0	1	1	0	0	1	1	2
	2				1		0				
28	2	100,000	0.8	1	1	1	0	1	1	1	3
	3	10,000	2	0	1	1	0	0	1	0	3
18	3		1	1	1	0	1	1	1	0	3
17	4	250,000	0.9	1	1	1	0	0	1	1	3
	3	52,000	2		1	1	0				
	3	10,000	1	1	1	1	0	1	1	1	4
9	3				0		0				
12	2	35,000	0.9	1	1	1	0	0	1	1	4
7	2	50,000	1	1	1	1	0	0	1	1	3
	2				1		0				
27	3	30,000	1	1	1	1	0	0	1	1	3
	3	35,000	3		1	1	0		0	1	2
16	4	24,000	0.9	0	1	1	0	0	1	1	5
23	4	40000	1	1	1	0	1	1	1	1	5
9	3	70,000	0.8	1	1	1	0	1	1	1	5
	2	80,000	0.9	1	1	0	0	0	1	1	1
20	3	30000	0.9		1	0	0		0	1	2
	3	10,000	1	0	1	1	0	0	0	0	5
29	5	80,000	2		1	1	0		0	1	3
	5	125,000	1	0	1	1	0	1	1	1	5
	3	20,000	0.9	1	1	1	1	1	1	0	3
27	4	10,000	0.8	0	1	1	0	0	1	1	3
30	4	28,000	0.9	1	1	1	0	1	1	1	5
	4	4,500	0.9	0	1	1	0	1	1	1	4
	4				1		0				
24	2	40,000			1	1	0				2
30	2	56,000	0.9	1	1	1	0	1	1	1	5
	3	70,000	5		1	1	0		0		3
