Age	Total number of children	Annual cost of education per child	Distance from school	Gender	Education Decision	Willingness to Sponsor	Incentive for schooling	Access to government universal basic education	Access to secondary education	Access to tertiary education	Parent Highest Education
32	4		3	1	1	1	1	1	1	1	5
22	5	38,000	3	1	1	1	1	0	1	1	5
	3	4,500	2	1	1	1	0	0	1	1	1
	2	6,000	1	1	1	1	1	1	1	1	5
	4	3,300	2	0	1	0	0	0	1	1	3
20	5	6,000	1	1	1	1	1	1	1	1	4
17	2	4,500	1	1	1	1	0	1	1	1	4
	2	56,000	1	1	1	1	0	1	1	1	4
15	2	85,000	3	0	1	1	0	0	1	0	3
20	4	6000	0.8	1	1	0	0	0	1	1	1
35	2		0.8	1	1	0	0	0	0	0	1
	2	20,000	0.8	1	1	0	0	1	1	1	4
18	4	60,000	1	1	1	1	0	1	1	1	2
	3	60,000	2		1	0	0	0	1	1	3
20	4	6,000	0.8		1	0	0	0	1	1	2
22	3	15,000	12		1	0	0	0	1	1	1
18	3	4,500	0.9		1	0	0	0	1	1	2
18	3	55,000	23		1	0	0	0	1	1	2
23	2	65,000	21		1	0		0	1	1	2
	3	6,000	25	1	1	1	1	1	1	1	4
	4	4,500	25	1	0	1	1	1	1	1	5
25	4	100,000	25	1	1	0	0	0	1	1	1
24	2	4,500	1	1	1	0	0	0	1	1	5
14	2	30000	1	0	1	1	0	0	0	1	5
8	3	20,000	1	0	1	1	0	1	1	1	3
	3	14,000	1	1	1	1	0	0	1	1	5
13	2	12,000	1	1	1	1	0	1	1	11	5
24	2	35000	1	1	1	0	0	0	1	1	1
17	2	20000	2		1	0	0		1	0	1
	3	100,000	5	0	1	1	0	1	1	1	4
3	3	1000	2	0	1	0	0	1	1	1	2
	3	25000	2	1	1	1	1	1	1	1	3
27	3	3000	2	0	1	1	1	1	1	1	4
25	3	85000	10	1	1	1	1	1	1	1	5
34	5	33000	4	0	1	0	1	1	1	1	4
22	2	15000	4	0	1	1	1	1	1	1	4
23	3	140000	10	1	1	1	1	1	1	1	3
14	1	10000	1	1	1	1	1	1	1	1	4
20	5	40,000	2		1	1	1		1	1	4
19	4	140000	25	1	0	1	1	0	1	1	5
17	4	85,000	70	1	1	1	1	1	1	1	4
28	3	10000	1	0	1	1	1	1	1	1	5
18	3	50000	2	0	1	1	1	1	1	1	4
	5	30000	3	0	1	1	1	1	1	1	5
19	1	30,000	5	1	1	0	0	1	1	1	4
30	2	20000	2	1	1	1	1	1	1	1	4
25	2	17,000	2	1	1	0	0	1	1	1	3
9	1	24,000	2	0	1	1	1	1	1	1	5
19	1	40000	2	0	1	1	0	1	1	1	5
24	2	28000	1	1	1	1	1	1	1	1	3
19	3	35,000	5	1	1	0	0	1	1	1	4
	3	20000	0	0	1	1	0	0	1	1	4
12	5	150000	10		1	0	0		1	1	4
	6	55,000	2	0	1	0	0	0	1	1	2
	5	65,000	6		1	0	0		1	0	
	3	35,000	1	1	1	1	0	1	1	1	4
27	4	65,000	6	1	1	1	0	0	1	1	3
35	1	12000	2		1	0	0		1	0	1
	2	20000	3	0	1	0	0	0	0	0	1
25	5	4,500	1	1	1	0	0	1	0	1	1
37	2	25,000	2		1		0		0	0	1
25	3	6,000	0.7	1	1	1	0	0	1	1	4
13	2	4,500	0.9	0	1	1	0	1	1	1	5
13	5	10,000	1	1	1	0	0	1	1	1	4
	5	1850	1	0	0	1	0	1	1	1	5
30	5	35000	0.9	1	1	0	0	1	1	0	4
	3	4,500	0.9	1	1	1	0	1	1	1	4
38	4	50,000	2	0	0	1	0	1	1	1	5
27	4	4,000	1	1	1	0	0	0	1	1	5
	2	30000	0.9	1	1	1	0	0	0	0	4
8	3	35000	2	0	1	1	0	1	1	1	1
27	5	24000	2	1	1	1	0	1	1	1	4
3	4	100,000	5	0	1	0	0	0	0	0	5
16	4	4000	1	1	1	1	0	0	1	0	1
	4	5000	1	0	1	1	0	0	0	1	5
10	2	4500	0.8	1	1	1	1	1	1	1	4
17	4	20,000	0.9	1	1	1	0	0	1	1	5
19	3	40000	0.9	0	1	1	0	1	1	1	3
	2	70,000	5	1	1	1	1	1	1	1	5
	2	21,000	0.9	1	1	1	0	0	1	1	5
25	3	120,000	0.8	0	1	1	0	1	1	1	5
30	3	35,000	0.9	1	1	1	1	1	1	1	4
25	3	10,000	0.8	1	1	0	0	1	1	1	3
16	3	44,000	0.9	0	1	1	0	0	1	0	5
23	3	100,000	52	1	0	0	1	1	1	1	5
9	3	4,500	0.8	1	1	1	0	1	1	1	5
	2	70,000	5	1	1	0	0	0	1	1	1
20	2	35,000	1		0	0	0		1	1	2
	2	5000	0.9	0	1	1	0	0	0	0	5
9	3	10000	2	0	1	1	1	1	1	1	5
29	3	96,000			1		0		1	1	5
16	3	45,000	0.9	0	1	0	0	0	0	0	2
37	3	20000	0.8	1	1	0	0	0	1	1	1
12	3	20,000	2	1	1	1	0	0	1	1	3
19	2	25000	2	0	1	1	0	1	1	1	5
35	3	60,000	5	1	1	1	1	1	1	1	5
15	3	70,000	5		1	0	0		1	1	2
20	4	10,000	0.8	1	1	1	0	1	1	1	1
	4	4,000	0.9	0	1	1	0	1	1	1	3
35	3	60,000	21	1	1	1	0	1	1	1	5
24	4	12,000	1	1	1	1	1	1	1	1	3
24	3	120,000	25		1	1	0		1	1	1
13	4	90,000	5		1	1	0		1	1	1
13	4	12,000	0.8		1	1	0		1	1	1
21	2	80,000	1	1	1	1	1	1	1	1	5
7	3	45,000	0.9	1	1	1	1	0	1	0	3
25	2	80,000	2	0	1	1	0	0	1	1	1
30	3	4,500	0.7	1	1	1	1	1	1	1	2
24	2	50,000	0.9	0	1	0	1	1	1	1	5
	4	60,000	0.8	1	1	0	1	1	1	1	3
20	4	45,000	0.8	0	1	1	1	1	1	1	5
	3	35,000	0.9	0	0	1	1	1	1	1	5
32	3	98,000	23	0	1	1	1	1	1	1	3
30	2	65,000	5	1	1	1	0	1	1	1	2
19	2	2000	0.8	1	1	0	1	1	1	0	4
	3	80,000	5	1	1	1	1	1	1	1	4
3	3	5000	0.8	1	1	0	0	0	1	1	1
	4	75,000	5	1	1	1	0	0	1	1	3
13	4	50,000	1	1	1	1	1	0	1	0	5
	4	80000	2	0	1	1	1	1	1	1	3
25	3	70000	1	1	1	1	1	1	1	1	5
15	2	55,000	5	1	1	1	0	1	1	1	3
	2	65000	5	1	1	0	0	0	1	1	1
13	2	90000	23	1	1	1	0	1	1	1	5
15	3	80,000	6	1	0	0	1	1	1	1	3
7	4	60,000	5	0	1	1	1	1	1	1	3
	4	1,500	0.9		1	1	1		1	0	2
	4	40,000	23	1	1	1	1	1	1	1	1
30	3	120,000	30	1	1	1	1	1	1	1	4
20	2	4000	1	0	1	1	1	1	1	0	3
20	4	32,000	1	1	0	1	1	1	1	0	4
6	3	48,000	30	1	1	1	1	1	1	1	3
	2	4,500	3	1	1	1	1	1	1	1	4
20	3	80,000	12	0	1	1	1	1	1	1	5
24	2	75,000	20	0	1	1	1	1	1	1	4
25	4	45,000	2	0	1	1	0	1	1	1	2
	2	2,000	1	0	1	1	1	1	1	1	5
	2	4,500	0.9	0	1	1	1	1	1	1	2
5	4	45,000	3	1	1	1	1	1	1	1	4
23	3	70,000	3	0	1	1	1	1	1	1	2
	4	85000	5	1	1	1	1	1	1	1	5
18	3	4,500	0.7	0	1	1	1	1	1	1	4
	3	25,000	0.9	1	1	1	1	1	1	1	4
27	3	85,000	6	1	1	1	1	1	1	1	5
	2	4,500	0.9	1	1	1	1	1	1	1	4
8	3	45,000	1	1	1	1	1	1	1	1	4
	3	3,000	2	0	1	1	1	1	1	1	4
21	3	2,000	0.9	0	1	1	1	1	1	1	5
35	2	57000	23	1	1	1	1	1	1	1	5
15	2	60000	5	1	1	1	1	1	1	1	4
	3	72,000	5	0	0	1	1	1	1	1	4
19	3	56000	10	0	1	1	1	1	1	1	5
28	2	50,000	10	0	1	1	1	1	1	1	4
9	3	3,000	0.9	1	0	1	1	1	1	1	4
	2	25,000	2	0	1	0	1	1	1	1	2
27	3	50,000	2	1	0	1	1	1	1	1	3
15	3	4,500	0.7	1	1	1	1	1	1	1	5
	3	4,500	0.9	0	1	1	1	1	1	1	3
30	3	5,000	0.9	1	1	1	1	1	1	1	3
29	3	4,500	0.9	0	1	1	1	1	1	1	4
15	3	3000	0.9	1	1	0	0	1	1	1	1
18	3	3000	0.7	1	1	1	1	1	1	1	4
	3	20000	0.7	1	1	1	0	0	1	1	3
26	2	7,000	2	0	1	1	1	1	1	1	3
19	4	20000	2	0	1	1	1	1	1	1	4
	4	1,500	0.8	1	1	0	0	1	1	1	2
21	2	85,000	0.9	1	1	1	1	1	1	1	4
28	2	45,000	1	1	1	1	1	1	1	0	2
	2	65,000	2	0	1	1	1	0	1	1	5
	3	20000	2	0	1	0	0	1	1	1	2
25	3	60,000	20	1	1	0	0	1	1	1	3
	4	20000	1	1	1	1	1	1	1	1	4
11	4	100000	5	0	1	0	0	1	1	1	1
	3	80,000	5	1	1	1	0	1	1	1	3
21	2	2000	0.7	0	0	0	0	1	1	1	2
	5	20000	0.9	0	1	1	1	1	1	1	5
	5	15000	2	1	1	1	1	1	1	1	5
17	2	30000	1	1	1	1	1	1	1	1	3
	3	100,000	2	0	1	1	1	0	1	1	3
	2	55,000	6	1	1	1	1	1	1	1	3
20	2	20000	8	0	0	1	1	1	1	1	5
2	1	25,000	0.9	0	1	1	1	1	1	1	3
15	3	80000	5	1	1	0	1	1	1	1	3
	4	43,000	2	1	1	0	1	1	1	1	1
	3	4,500	0.7	0	1	1	1	1	1	1	5
	3	38,000	2	1	1	0	0	1	1	1	4
	4	70,000	5	0	1	0	1	1	1	1	3
	3	5,000	0.7	0	1	0	0	1	1	1	4
13	3	4,000	0.7	1	1	1	1	0	1	1	4
	4	1,500	0.7	1	1	1	1	1	1	0	1
	4	70,000	0.9	1	1	1	0	0	1	1	1
	3	15000	2	0	0	0	1	1	1	1	4
6	3	20000	0.9	1	1	1	0	0	1	1	1
24	3	80,000	20	1	1	0	1	1	1	1	2
	3	5,000	0.9	1	1	1	1	1	1	1	5
29	2	80,000	2	1	1	1	0	1	1	1	3
	3	85,000	2	1	1	1	1	0	1	1	5
22	2	55,000	2	0	1	1	0	0	1	1	3
	3	5,000	0.9	1	1	1	1	1	1	1	4
	2	4,500	0.7	1	1	1	0	0	1	1	4
24	2	35,000	0.9	1	1	1	0	0	1	1	5
	2	45,000	2	1	1	1	1	1	1	1	5
27	2	43,000	1	1	1	1	0	0	1	0	1
4	2	150,000	52	0	1	1	0	0	1	1	3
	3	200,000	80	1	0	1	0	0	1	1	4
	3	3,000	1	1	1	1	0	0	1	1	5
	3	47,000	0.9	1	1	0	0	0	1	1	3
	3	40,000	25	1	0	1	1	1	1	1	4
26	3	75,000	5	1	1	1	0	0	1	1	5
3	2	2,500	0.9	1	1	1	1	1	1	1	2
10	3	40,000	1	1	1	1	0	0	1	1	5
24	3	48,000	1	1	1	1	1	1	1	1	3
32	2	8,000	2	1	0	0	1	1	1	0	1
21	3	50,000	8	0	1	0	0	1	1	1	5
12	3	37,000	2	0	1	1	1	1	1	1	4
30	3	55,000	5	1	1	1	0	1	1	1	3
30	3	56,000	5		1	0	1		1	0	1
26	4	42,000	2	1	1	0	0	1	1	1	2
	2	4,500	0.8	0	1	1	1	1	1	1	4
16	2	6,000	0.8	1	1	1	0	0	1	1	3
22	3	10,000	0.7	1	1	1	1	0	1	1	5
	2	1,850	0.8	1	0	1	1	1	1	1	4
33	4	3,000	0.9		1	1			1		1
20	3	4,500	14	1	1	1	1	1	1	1	4
33	3	25,000	1	1	1	1	1	1	1	1	6
24	5	35,000	1	1	1	1	1	0	1	1	5
	2	15,000	2	0	1	0	1	1	1	1	4
	2	3,300	0.9	1	1	0	0	1	1	1	1
	2	10,000	1	1	1	1	1	0	0	0	4
35	1	35,000	2	1	1	1	1	0	1	0	5
18	2	45,000	1	0	1	1	1	0	1	1	5
22	2	50,000	12	1	1	0	0	0	1	1	3
16	4	100000	12	1	1	1	0	0	1	1	5
24	3	50,000	5		1	0	0		1	0	1
	3	4,500	0.9	1	1	0	0	1	1	1	3
	4	30,000	4	0	1	1	1	1	1	1	4
24	2	140,000	15	0	1	1	1	1	1	1	5
22	3	40,000	1	1	1	1	1	1	1	1	3
	5	120,000	6	0	1	1	1	1	1	1	4
	4	45,000	2	1	1	1	1	1	1	1	4
27	2	80,000	0.9		0	0	1		1	1	1
	1	4,500	0.9		1	0	1		1	1	1
21	3	55,000	2	1	0	1	1	0	1	1	3
15	4	60,000	2	1	1	1	1	0	1	1	5
13	3	65,000	45	1	1	1	1	1	1	1	4
18	5	45,000	2	1	1	1	1	0	1	1	4
	5	8000	0.7		1	0	1		1	1	1
18	2	30000	0.8		1	0			1	1	1
24	3	10000	0.9		1	0	0		1	1	1
30	2	10,000	0.7		1	0	0		1	1	1
	4	2500	0.7		1	0	1		0	1	1
17	3				1	0	1			1	1
34	4	20000	0.9		1	0	1		1	1	1
35	5	10000	0.7		1	0	1		1	1	1
27	4	28000	0.9		1	0	1		1	1	1
	3				0	0	1		1	1	1
34	2				1	0	1			1	1
29	2	4500	1	1	0	1	1	0	1	1	3
28	3	35000	1	1	1	1	1	0	1	1	5
	5	20,000	2	1	1	1	1	1	1	1	3
	4	40,000	1	1	1	1	0	0	1	1	6
15	3	56,000	40	0	1	1	0	1	1	1	3
26	5	70,000	2		1	0	1		1		1
2	2	56,000	1	0	1	1	1	1	1	1	4
23	3				1	1	0		0	1	1
10	3		1	1	0	1	0	1	1	1	4
18	4				1	0	0		0	0	1
26	3	70,000	3	0	0	0	0	1	1	1	4
12	2	75,000	5	1	1	1	0	1	1	1	5
20	2	45,000	3	0	1	0	1	1	1	1	1
	3	60,000	20	1	0	1	0	1	1	1	3
	2	80,000	20	0	1	1	1	1	1	1	5
	3	50,000	1	1	0	1	1	1	1	1	5
21	3	46,000	1	1	1	1	1	1	1	1	3
30	3	85,000	5	1	1	0	0	0	1	1	3
	4	4,500	0.8	1	1	1	0	0	1	0	3
	3		0.7	1	1	0	0	0	1	1	3
	2		5	1	1	0	1	1	1	1	5
20	3	90,000	23	1	1	0	0	0	1	1	1
24	5	60,000	5		1	0	0		1	1	1
15	6	15,000	1	1	1	1	0	0	1	1	3
14	5	160,000	8	1	1	1	0	0	1	1	2
	3	3,000	0.8	1	1	1	0	1	1	1	2
13	5	35,000	0.9		1	0	1		1	1	1
13	3				1	0					1
13	3		0.9	1	1	1	0	1	1	1	4
32	4		1	1	1	1	0	1	1	1	2
21	1	45,000	1	1	1	1	1	1	1	1	5
4	2		5	1	1	1	0	0	1	1	1
17	2		1	1	0	1	0	0	0	0	4
	1	3,300	0.8	1	0	0	0	0	0	0	4
18	1	44,000	8	1	1	1	0	1	1	1	5
8	3	60,000	0.9		1	1	1		1	1	1
4	3	4,500	0.7		1	1	1		1	1	1
5	4		0.7	1	1	1	1	1	1	1	5
20	5		0.7	1	1	1	1	1	1	1	4
22	6		0.9	1	1	1	1	1	1	1	5
20	7		1	1	1	1	1	1	1	1	4
4	4		0.8	1	1	1	1	1	1	1	3
18	3		0.9	1	1	1	1	1	1	1	3
3	1	80,000	35	1	1	1	1	1	1	1	5
30	2	80,000	1	0	1	1	1	1	1	1	4
	5		0.7	1	1	1	1	1	1	1	3
29	1	38,000	0.9	0	1	0	1	1	1	1	3
21	2	4,500	0.8		1	0	1		1	1	1
30	3	6,000	0.8		1	0	1		1	1	1
	5	3,300	0.8	1	0	1	1	1	1	1	3
7	5	6,000	1	1	1	1	1	1	1	1	5
34	5	4,500	0.9	0	1	1	1	1	1	1	5
16	3	56,000	5	1	1	1	1	1	1	1	5
27	4	85,000	5	0	1	0	0	1	1	1	1
17	3	6000	1	1	1	1	1	1	1	1	4
17	2				0	0	0		0		1
28	3	20,000	0.8		1	1	0		1	1	1
24	6	60,000	2		1	1	0		1	1	1
	3	60,000	12	0	1	1	1	1	1	1	3
18	3	6,000	0.9		0	0	0		1	1	1
32	4	15,000	0.8		1	0	1		1	1	1
	2	4,500	0.9	1	1	0	0	1	1	1	2
31	3	55,000	25	1	1	1	0	1	1	1	4
	2	65,000	8	1	1	0	0	1	1	1	4
18	3	6,000	1	1	0	1	0	1	1	1	2
	3	4,500	0.9		1	0	0		1	1	1
20	3	100,000	5		1	0	0		1	1	1
22	3	4,500	0.9		1	0	1		1	1	1
18	4	55,000	12		0	0			1	1	1
18	4	65,000	5		1	0	1		1	1	1
23	4	6,000	0.9		1	0	1		1	1	1
33	3	4,500	0.9	1	1	1	1	1	1	1	4
	2	100,000	45	1	1	1	1	1	1	1	5
17	2				1	0			0		1
	2		0.9	0	1	1	0	1	1	1	4
3	3		0.9	0	1	0	0	1	1	1	2
	4	20,000	2	1	1	1	1	1	1	1	3
27	4		2	0	1	1	1	1	1	1	4
25	3		1	1	1	1	1	1	1	1	5
34	3		1	0	0	0	1	1	1	1	4
22	2	20,000	2	0	0	1	1	1	1	1	4
23	4	30,000	0.9	1	1	1	1	1	1	1	3
14	5		1	1	1	1	1	1	1	1	4
20	5				1		1				1
19	5	70,000	25	1	1	1	1	0	1	1	5
17	3	45,000	2	1	1	1	1	1	1	1	4
28	3	170,000	5	0	1	1	1	1	1	1	5
18	3	30,000	2	0	1	1	1	1	1	1	4
	4		3	0	1	1	1	1	1	1	5
19	4		5	1	1	0	0	1	1	1	4
30	2	70,000	2	1	1	1	1	1	1	1	4
25	2	45,000	1	1	1	0	1	1	1	1	3
9	2	170,000	23	0	1	1	1	1	1	1	5
19	3	20,000	2	0	1	1	0	1	1	1	5
24	2	12,000	1	1	1	1	1	1	1	1	3
19	4	4,500	0.8	1	1	0	0	1	1	1	4
30	3	6,000	0.8	1	1	1	1	1	1	1	4
25	3	80	3	1	1	0	0	1	1	1	3
9	3	80,000	2	0	1	1	1	1	1	1	5
19	2	10,000	2	0	1	1	0	1	1	1	5
24	2	8,000	1	1	1	1	1	1	1	1	3
24	3				1		1				1
13	3				1		1				1
13	3				1	0	0				1
21	3		1	1	1	1	1	1	1	1	5
24	3	4,500	0.9		1		0		1		1
13	4				1		0				1
13	2				1	1	0				1
21	2		1	1	0	1	1	1	1	1	5
20	2		1	1	1	1	1	No	1	1	5
28	3				0	1					1
20	3				1						1
18	3		14	1	1	1	0	1	1	1	5
17	3		15	0	1	1	0	1	1	1	3
28	3		12	0	0	1	1	1	1	1	5
20	2		1	1	1	1	1	0	1	1	5
28	4				1						1
20	3				1						1
18	2	20,000	30	1	1	1	0	1	1	1	5
17	3	60,000	32	0	0	1	0	1	1	1	3
28	2	60,000	40	0	0	1	1	1	1	1	5
15	4	6,000	0.8		1		0				1
15	2	15,000			1		1				1
6	2	4,500	5	1	1	0	0	1	1	1	3
	3	55,000	0.9		0	1	1			1	1
3	3	65,000	0.7		1	1	1			1	1
20	3	6,000	0.9		1	0	1			1	1
31	3	4,500	0.7		0	0	1			1	1
6	3	100,000	0.7		1	0	1			1	1
	3	4,500	0.9		1	0	1			1	1
22	2	55,000	0.9		0	0				1	1
31	4	65,000	0.8		1	0				1	1
13	4	6,000			1	0				1	1
6	4	4,500	5	1	1	0	0	1	1	1	3
	2	100,000			1		0		1	1	1
3	2	1,500	0.9	0	1	0	0		1	1	1
20	3	70,000	4	0	1	0	0		1	1	1
31	3		0.8	1	1	0	0		1	1	1
6	2	20,000	0.8	0	1	0	0		1	1	1
	2	60,000	0.8	1	1	0	0		1	1	1
22	2	60,000	0.9	0	1	0	0		1	1	1
31	4	6,000	8	0	1	0	0		1	1	1
13	3	15,000	6	1	1	0	0		1	1	1
21	4	4,500	3	1	1	0	0		1	1	1
	3	55,000	2		1	0	0		1	1	1
19	4	65,000	1	1	1	0	0		1	1	1
21	5	6,000	1	1	1	0	0		1	1	1
	3	4,500	1	0	1	0	0		1	1	1
19	3	100,000	0.9	0	1	0	0		1	1	1
23	2	4,500	0.9	0	1	0	0		1	1	1
8	5	55,000	6	1	1	0	0		1	1	1
23	5	65,000	5	1	1	0	0		1	1	1
	3	6,000	2	1	1	0	0		1	1	1
14	3	4,500	1	0	1	0	0		1	1	1
23	4	100,000	1	0	1	0	0		1	1	1
12	2	20000	2	1	1	0	0		1	1	1
23	2	25000	9	1	1	0	0		1	1	1
8	5	52000	5		1	0	0		1	1	1
23	4	15000	3		1	0	0		1	1	1
	3	12000	2		1	0	0		1	1	1
14	2	5800	1		1	0	0		1	1	1
23	5	4000	1		1	0	1		1	1	1
	6	5000	1		1	0	1		1	1	1
26	4	8000	0.9	1	1	0	1	1	0	0	2
	4	50000	5	0	1	1	0	1	0	1	4
12											
28											
											
25											
8											
											
20											
24											
											
25											
28											
											
25											
8											
											
20											
24											
											
25											
